algorithm,descriptors,training_set,word_embedding,top1,MRR
adaptdroid_0,intersection,standard,w2v,0.519287834,0.67085695
adaptdroid_0,intersection,standard,wm,0.53115727,0.66581957
adaptdroid_0,atm,standard,wm,0.528189911,0.66542683
adaptdroid_0,craftdroid,standard,wm,0.528189911,0.66541001
adaptdroid_0,union,standard,wm,0.534124629,0.66410797
adaptdroid_0,atm,blogs,wm,0.519287834,0.6584798
adaptdroid_0,intersection,blogs,wm,0.513353116,0.65834626
adaptdroid_0,atm,blogs,w2v,0.510385757,0.65829432
adaptdroid_0,atm,standard,nnlm,0.528189911,0.65772115
adaptdroid_0,intersection,standard,nnlm,0.528189911,0.65531943
adaptdroid_0,atm,googleplay,w2v,0.495548961,0.65425088
adaptdroid_0,atm,blogs,fast,0.507418398,0.65332667
adaptdroid_0,atm,googleplay,fast,0.489614243,0.65306046
adaptdroid_0,intersection,googleplay,fast,0.492581602,0.65305854
adaptdroid_0,craftdroid,standard,nnlm,0.510385757,0.65026143
adaptdroid_0,intersection,googleplay,w2v,0.489614243,0.6494983
adaptdroid_0,intersection,blogs,w2v,0.492581602,0.64945871
adaptdroid_0,intersection,android,wm,0.50148368,0.64902095
adaptdroid_0,craftdroid,blogs,wm,0.492581602,0.64841903
adaptdroid_0,atm,android,fast,0.495548961,0.64789932
adaptdroid_0,intersection,android,fast,0.492581602,0.64775954
adaptdroid_0,union,standard,nnlm,0.507418398,0.64740077
adaptdroid_0,intersection,blogs,fast,0.492581602,0.6472183
adaptdroid_0,atm,android,wm,0.49851632,0.64697806
adaptdroid_0,union,blogs,wm,0.49851632,0.64528706
adaptdroid_0,atm,blogs,glove,0.480712166,0.64517285
adaptdroid_0,craftdroid,android,wm,0.507418398,0.64484387
adaptdroid_0,union,standard,fast,0.489614243,0.64460063
adaptdroid_0,intersection,blogs,glove,0.474777448,0.64251903
adaptdroid_0,atm,standard,glove,0.480712166,0.64101153
adaptdroid_0,craftdroid,standard,fast,0.480712166,0.64098037
adaptdroid_0,craftdroid,googleplay,fast,0.462908012,0.63735341
adaptdroid_0,union,googleplay,w2v,0.471810089,0.63622568
adaptdroid_0,craftdroid,googleplay,w2v,0.465875371,0.6352985
adaptdroid_0,union,googleplay,fast,0.459940653,0.6345058
adaptdroid_0,union,android,wm,0.492581602,0.63243312
adaptdroid_0,craftdroid,empty,jaccard,0.448071217,0.62895921
adaptdroid_0,atm,android,w2v,0.471810089,0.62872819
adaptdroid_0,intersection,android,w2v,0.471810089,0.62865756
adaptdroid_0,intersection,standard,glove,0.462908012,0.62754983
adaptdroid_0,union,empty,jaccard,0.451038576,0.62677891
adaptdroid_0,craftdroid,standard,glove,0.465875371,0.62303383
adaptdroid_0,intersection,googleplay,glove,0.462908012,0.62256032
adaptdroid_0,union,standard,w2v,0.46884273,0.62100985
adaptdroid_0,union,standard,glove,0.459940653,0.62056783
adaptdroid_0,atm,googleplay,glove,0.459940653,0.6201449
adaptdroid_0,craftdroid,blogs,w2v,0.451038576,0.6193969
adaptdroid_0,atm,android,glove,0.459940653,0.6192728
adaptdroid_0,craftdroid,standard,w2v,0.459940653,0.61849138
adaptdroid_0,intersection,android,glove,0.456973294,0.61768065
adaptdroid_0,union,blogs,w2v,0.445103858,0.61339081
adaptdroid_0,craftdroid,blogs,glove,0.448071217,0.61337176
adaptdroid_0,atm,empty,edit_distance,0.43620178,0.61291414
adaptdroid_0,union,android,fast,0.456973294,0.61259537
adaptdroid_0,craftdroid,blogs,fast,0.439169139,0.61211236
adaptdroid_0,union,blogs,fast,0.442136499,0.61135209
adaptdroid_0,craftdroid,googleplay,glove,0.456973294,0.6109401
adaptdroid_0,union,blogs,glove,0.445103858,0.61063536
adaptdroid_0,craftdroid,android,fast,0.448071217,0.60850535
adaptdroid_0,intersection,empty,edit_distance,0.427299703,0.60526742
adaptdroid_0,union,googleplay,glove,0.451038576,0.60432675
adaptdroid_0,atm,empty,jaccard,0.442136499,0.60232312
adaptdroid_0,atm,standard,bert,0.454005935,0.59975456
adaptdroid_0,craftdroid,android,glove,0.430267062,0.59434725
adaptdroid_0,intersection,empty,jaccard,0.430267062,0.59208957
adaptdroid_0,union,android,glove,0.427299703,0.59121542
adaptdroid_0,union,empty,edit_distance,0.412462908,0.59091504
adaptdroid_0,craftdroid,android,w2v,0.424332344,0.58909203
adaptdroid_0,intersection,standard,bert,0.439169139,0.58798764
adaptdroid_0,craftdroid,empty,edit_distance,0.400593472,0.58639844
adaptdroid_0,union,android,w2v,0.424332344,0.58127374
adaptdroid_0,union,standard,bert,0.400593472,0.56112164
adaptdroid_0,craftdroid,standard,bert,0.397626113,0.55847709
random,atm,empty,random,0.057863501,0.20191013
