algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,craftdroid,standard,glove,0.412462908,0.646884273,0.759643917,0.821958457,0.863501484,0.627259058,111.7280126,75934
atm_0,craftdroid,standard,nnlm,0.486646884,0.741839763,0.866468843,0.913946588,0.931750742,0.703984045,2449.300343,5340
atm_0,craftdroid,standard,use,0.504451039,0.709198813,0.84272997,0.902077151,0.934718101,0.702462701,4503.739334,3243
atm_0,craftdroid,standard,w2v,0.403560831,0.664688427,0.783382789,0.830860534,0.857566766,0.629574916,119.9321091,69330
atm_0,craftdroid,standard,wm,0.489614243,0.738872404,0.857566766,0.90504451,0.922848665,0.700912975,35.04567122,4803
atm_0,intersection,standard,bert,0.504451039,0.724035608,0.821958457,0.854599407,0.896142433,0.690836562,3453.36672,12534
atm_0,intersection,standard,fast,0.522255193,0.771513353,0.848664688,0.881305638,0.90504451,0.719464024,59.75304365,5313
atm_0,intersection,standard,glove,0.53115727,0.759643917,0.839762611,0.887240356,0.910979228,0.721192947,51.60853553,19829
atm_0,intersection,standard,nnlm,0.548961424,0.753709199,0.830860534,0.878338279,0.902077151,0.725363827,1866.091096,14082
atm_0,intersection,standard,use,0.56379822,0.738872404,0.857566766,0.887240356,0.90504451,0.732168975,3724.737961,8240
atm_0,intersection,standard,w2v,0.522255193,0.768545994,0.845697329,0.887240356,0.919881306,0.719731927,48.88094568,18346
atm_0,intersection,standard,wm,0.569732938,0.78041543,0.848664688,0.893175074,0.922848665,0.743051203,16.97263813,12927
atm_0,union,standard,bert,0.442136499,0.682492582,0.818991098,0.887240356,0.90504451,0.655497556,4700.946583,4458
atm_0,union,standard,fast,0.462908012,0.658753709,0.78041543,0.833827893,0.87537092,0.655528331,150.837549,17301
atm_0,union,standard,glove,0.421364985,0.637982196,0.771513353,0.836795252,0.872403561,0.630209283,136.7518446,79275
atm_0,union,standard,nnlm,0.471810089,0.735905045,0.863501484,0.922848665,0.928783383,0.695644824,2491.026413,5191
atm_0,union,standard,use,0.537091988,0.732937685,0.84272997,0.910979228,0.931750742,0.718371042,7459.641029,3264
atm_0,union,standard,w2v,0.433234421,0.667655786,0.789317507,0.845697329,0.860534125,0.644601896,141.6854527,74059
atm_0,union,standard,wm,0.465875371,0.738872404,0.863501484,0.913946588,0.925816024,0.692245526,43.38516021,4766
craftdroid,atm,standard,bert,0.522255193,0.735905045,0.810089021,0.84272997,0.863501484,0.689822069,1458.144458,0
craftdroid,atm,standard,fast,0.548961424,0.744807122,0.810089021,0.869436202,0.893175074,0.7144792,38.28913212,2141
craftdroid,atm,standard,glove,0.548961424,0.765578635,0.807121662,0.854599407,0.881305638,0.717027003,37.04610419,6784
craftdroid,atm,standard,nnlm,0.569732938,0.75074184,0.801186944,0.848664688,0.87537092,0.71711995,652.7513387,774
craftdroid,atm,standard,use,0.566765579,0.75074184,0.821958457,0.857566766,0.902077151,0.724117961,2341.568069,370
craftdroid,atm,standard,w2v,0.534124629,0.747774481,0.804154303,0.854599407,0.896142433,0.707339707,45.63856649,5747
craftdroid,atm,standard,wm,0.56379822,0.771513353,0.816023739,0.851632047,0.887240356,0.723783912,13.76271892,165
craftdroid,craftdroid,standard,bert,0.462908012,0.682492582,0.78041543,0.869436202,0.893175074,0.654899942,3135.422517,0
craftdroid,craftdroid,standard,fast,0.465875371,0.694362018,0.801186944,0.836795252,0.872403561,0.662329862,60.97988915,6216
craftdroid,craftdroid,standard,glove,0.480712166,0.715133531,0.786350148,0.839762611,0.863501484,0.66990658,54.85928679,26447
craftdroid,craftdroid,standard,nnlm,0.486646884,0.709198813,0.786350148,0.833827893,0.863501484,0.669047169,1303.978943,809
craftdroid,craftdroid,standard,use,0.513353116,0.71810089,0.816023739,0.851632047,0.893175074,0.690365184,5385.438368,383
craftdroid,craftdroid,standard,w2v,0.483679525,0.71810089,0.804154303,0.839762611,0.887240356,0.675963828,69.55411887,17930
craftdroid,craftdroid,standard,wm,0.507418398,0.735905045,0.810089021,0.84272997,0.884272997,0.68650535,19.84209919,165
craftdroid,intersection,standard,bert,0.486646884,0.712166172,0.807121662,0.839762611,0.863501484,0.6730612,1565.259616,0
craftdroid,intersection,standard,fast,0.528189911,0.732937685,0.807121662,0.869436202,0.893175074,0.706358998,37.85251808,2127
craftdroid,intersection,standard,glove,0.53115727,0.75074184,0.804154303,0.854599407,0.881305638,0.708067001,37.14639854,6682
craftdroid,intersection,standard,nnlm,0.534124629,0.738872404,0.798219585,0.845697329,0.87537092,0.703147457,638.731075,762
